AIRLINE,FL_DATE,DEP_DELAY
American Airlines Inc.,2019-08-20,17.774907749077492
American Airlines Inc.,2019-08-21,9.869565217391305
American Airlines Inc.,2019-08-22,17.90747330960854
American Airlines Inc.,2019-08-23,12.90764331210191
American Airlines Inc.,2019-08-24,0.8240343347639485
American Airlines Inc.,2019-08-25,3.3820224719101124
American Airlines Inc.,2019-08-26,8.175824175824175
American Airlines Inc.,2019-08-27,18.94331983805668
American Airlines Inc.,2019-08-28,4.5724907063197024
American Airlines Inc.,2019-08-29,8.269372693726938
American Airlines Inc.,2019-08-30,22.069444444444443
American Airlines Inc.,2019-08-31,14.48768472906404
American Airlines Inc.,2019-09-01,4.888888888888889
American Airlines Inc.,2019-09-02,15.01556420233463
American Airlines Inc.,2019-09-03,12.011406844106464
American Airlines Inc.,2019-09-04,2.6925925925925926
American Airlines Inc.,2019-09-05,0.30254777070063693
American Airlines Inc.,2019-09-06,7.625429553264605
American Airlines Inc.,2019-09-07,0.3054393305439331
American Airlines Inc.,2019-09-08,4.6938775510204085
American Airlines Inc.,2019-09-09,8.129963898916968
American Airlines Inc.,2019-09-10,5.929460580912863
American Airlines Inc.,2019-09-11,7.590277777777778
American Airlines Inc.,2019-09-12,16.70631970260223
American Airlines Inc.,2019-09-13,14.495384615384616
American Airlines Inc.,2019-09-14,1.7649769585253456
American Airlines Inc.,2019-09-15,11.96218487394958
American Airlines Inc.,2019-09-16,5.102564102564102
American Airlines Inc.,2019-09-17,3.1323529411764706
American Airlines Inc.,2019-09-18,5.189090909090909
American Airlines Inc.,2019-09-19,6.679577464788732
American Airlines Inc.,2019-09-20,14.637860082304528
American Airlines Inc.,2019-09-21,10.755364806866952
American Airlines Inc.,2019-09-22,5.355400696864112
American Airlines Inc.,2019-09-23,11.144781144781145
American Airlines Inc.,2019-09-24,3.8836206896551726
American Airlines Inc.,2019-09-25,1.4814814814814814
American Airlines Inc.,2019-09-26,10.562962962962963
American Airlines Inc.,2019-09-27,18.40531561461794
American Airlines Inc.,2019-09-28,5.574766355140187
American Airlines Inc.,2019-09-29,10.109154929577464
American Airlines Inc.,2019-09-30,6.486692015209125
American Airlines Inc.,2019-10-01,1.8759398496240602
American Airlines Inc.,2019-10-02,2.043956043956044
American Airlines Inc.,2019-10-03,10.629770992366412
American Airlines Inc.,2019-10-04,8.562937062937063
American Airlines Inc.,2019-10-05,2.516949152542373
American Airlines Inc.,2019-10-06,5.7819548872180455
American Airlines Inc.,2019-10-07,7.714285714285714
American Airlines Inc.,2019-10-08,5.428571428571429
American Airlines Inc.,2019-10-09,8.935361216730039
American Airlines Inc.,2019-10-10,12.107806691449815
American Airlines Inc.,2019-10-11,32.195286195286194
American Airlines Inc.,2019-10-12,6.752
American Airlines Inc.,2019-10-13,6.318181818181818
American Airlines Inc.,2019-10-14,5.505376344086022
American Airlines Inc.,2019-10-15,2.4927536231884058
American Airlines Inc.,2019-10-16,6.0452830188679245
American Airlines Inc.,2019-10-17,11.08813559322034
American Airlines Inc.,2019-10-18,11.838129496402878
American Airlines Inc.,2019-10-19,1.7094017094017093
American Airlines Inc.,2019-10-20,17.933333333333334
American Airlines Inc.,2019-10-21,11.860627177700348
American Airlines Inc.,2019-10-22,3.55
American Airlines Inc.,2019-10-23,2.4016064257028114
American Airlines Inc.,2019-10-24,34.326241134751776
American Airlines Inc.,2019-10-25,13.950877192982457
American Airlines Inc.,2019-10-26,13.219047619047618
American Airlines Inc.,2019-10-27,11.235059760956176
American Airlines Inc.,2019-10-28,3.712
American Airlines Inc.,2019-10-29,13.795918367346939
American Airlines Inc.,2019-10-30,11.930501930501931
American Airlines Inc.,2019-10-31,28.565420560747665
American Airlines Inc.,2019-11-01,11.122923588039868
American Airlines Inc.,2019-11-02,5.575892857142857
American Airlines Inc.,2019-11-03,5.553191489361702
American Airlines Inc.,2019-11-04,2.8424908424908426
American Airlines Inc.,2019-11-05,2.2712550607287447
American Airlines Inc.,2019-11-06,7.487272727272727
American Airlines Inc.,2019-11-07,11.864238410596027
American Airlines Inc.,2019-11-08,13.0
American Airlines Inc.,2019-11-09,7.585470085470085
American Airlines Inc.,2019-11-10,4.101754385964912
American Airlines Inc.,2019-11-11,22.68978102189781
American Airlines Inc.,2019-11-12,11.227272727272727
American Airlines Inc.,2019-11-13,4.890070921985815
American Airlines Inc.,2019-11-14,6.960573476702509
American Airlines Inc.,2019-11-15,8.23103448275862
American Airlines Inc.,2019-11-16,1.5614754098360655
American Airlines Inc.,2019-11-17,11.409774436090226
American Airlines Inc.,2019-11-18,12.138983050847457
American Airlines Inc.,2019-11-19,-1.5
American Airlines Inc.,2019-11-20,3.2318339100346023
American Airlines Inc.,2019-11-21,10.599250936329588
American Airlines Inc.,2019-11-22,4.9298245614035086
American Airlines Inc.,2019-11-23,3.2490421455938696
American Airlines Inc.,2019-11-24,5.568181818181818
American Airlines Inc.,2019-11-25,7.623003194888179
American Airlines Inc.,2019-11-26,4.937931034482759
American Airlines Inc.,2019-11-27,10.380073800738007
American Airlines Inc.,2019-11-28,0.27611940298507465
American Airlines Inc.,2019-11-29,2.4615384615384617
American Airlines Inc.,2019-11-30,15.823321554770319
American Airlines Inc.,2019-12-01,17.948387096774194
American Airlines Inc.,2019-12-02,19.914089347079038
American Airlines Inc.,2019-12-03,16.119402985074625
American Airlines Inc.,2019-12-04,1.842741935483871
American Airlines Inc.,2019-12-05,6.927756653992396
American Airlines Inc.,2019-12-06,8.494584837545126
American Airlines Inc.,2019-12-07,4.991379310344827
American Airlines Inc.,2019-12-08,2.995983935742972
American Airlines Inc.,2019-12-09,12.19434628975265
American Airlines Inc.,2019-12-10,4.027237354085603
American Airlines Inc.,2019-12-11,6.593406593406593
American Airlines Inc.,2019-12-12,6.907894736842105
American Airlines Inc.,2019-12-13,12.53448275862069
American Airlines Inc.,2019-12-14,3.8454545454545452
American Airlines Inc.,2019-12-15,3.624087591240876
American Airlines Inc.,2019-12-16,12.602316602316602
American Airlines Inc.,2019-12-17,11.510917030567686
American Airlines Inc.,2019-12-18,10.784671532846716
American Airlines Inc.,2019-12-19,6.784552845528455
American Airlines Inc.,2019-12-20,23.542955326460483
American Airlines Inc.,2019-12-21,13.578059071729959
American Airlines Inc.,2019-12-22,7.7272727272727275
American Airlines Inc.,2019-12-23,12.04642857142857
American Airlines Inc.,2019-12-24,1.125
American Airlines Inc.,2019-12-25,4.358851674641149
American Airlines Inc.,2019-12-26,6.832699619771863
American Airlines Inc.,2019-12-27,11.062295081967212
American Airlines Inc.,2019-12-28,11.647826086956522
American Airlines Inc.,2019-12-29,7.996197718631179
American Airlines Inc.,2019-12-30,11.035971223021583
American Airlines Inc.,2019-12-31,14.19409282700422
American Airlines Inc.,2020-01-01,9.184615384615384
American Airlines Inc.,2020-01-02,2.2974910394265233
American Airlines Inc.,2020-01-03,6.192857142857143
American Airlines Inc.,2020-01-04,13.08029197080292
American Airlines Inc.,2020-01-05,3.8214285714285716
American Airlines Inc.,2020-01-06,5.462962962962963
American Airlines Inc.,2020-01-07,-1.6343612334801763
American Airlines Inc.,2020-01-08,-0.26382978723404255
American Airlines Inc.,2020-01-09,3.0437710437710437
American Airlines Inc.,2020-01-10,16.639705882352942
American Airlines Inc.,2020-01-11,14.156862745098039
American Airlines Inc.,2020-01-12,7.475471698113208
American Airlines Inc.,2020-01-13,5.077519379844961
American Airlines Inc.,2020-01-14,3.919642857142857
American Airlines Inc.,2020-01-15,-0.19747899159663865
American Airlines Inc.,2020-01-16,16.476702508960575
American Airlines Inc.,2020-01-17,16.306930693069308
American Airlines Inc.,2020-01-18,8.4
American Airlines Inc.,2020-01-19,7.281632653061225
American Airlines Inc.,2020-01-20,3.213235294117647
American Airlines Inc.,2020-01-21,4.3117408906882595
American Airlines Inc.,2020-01-22,4.220532319391635
American Airlines Inc.,2020-01-23,5.2927756653992395
American Airlines Inc.,2020-01-24,3.0
American Airlines Inc.,2020-01-25,8.455056179775282
American Airlines Inc.,2020-01-26,2.157446808510638
American Airlines Inc.,2020-01-27,13.651821862348179
American Airlines Inc.,2020-01-28,11.5
American Airlines Inc.,2020-01-29,4.905349794238683
American Airlines Inc.,2020-01-30,9.677290836653386
American Airlines Inc.,2020-01-31,6.892086330935252
American Airlines Inc.,2020-02-01,0.2818181818181818
American Airlines Inc.,2020-02-02,3.3605150214592276
American Airlines Inc.,2020-02-03,9.65267175572519
American Airlines Inc.,2020-02-04,3.2251908396946565
American Airlines Inc.,2020-02-05,0.3765182186234818
American Airlines Inc.,2020-02-06,30.283636363636365
